video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7334312867799305479,2024-02-11T18:59:52,10,VN,217100,674,758,3200000,,False,,_harriet.11,Thích ép dứa không đường🍍☁️,,,,,,False
7334312867799305479,2024-02-11T18:59:52,10,VN,217100,674,758,3200000,,False,,_harriet.11,Thích ép dứa không đường🍍☁️,,,,,,False
7334312867799305479,2024-02-11T18:59:52,10,VN,217100,674,758,3200000,,False,,_harriet.11,Thích ép dứa không đường🍍☁️,,,,,,False
7334312867799305479,2024-02-11T18:59:52,10,VN,217200,677,758,3200000,,False,,_harriet.11,Thích ép dứa không đường🍍☁️,,,,,,False
7365858088802340112,2024-05-06T19:11:28,11,VN,196400,11700,15200,3900000,Có đáng hay không  #giaitri #13th9 #xuhuong #trending #meobeo #meobeo ,False,,13_thang_9,Mai 👸💕,,,,,,False
7362494843567885586,2024-04-27T17:40:20,27,VN,227500,3159,3080,6200000,3/5 người chủ trì Hội nghị lần thứ nhất Ban Chấp hành Trung ương khoá XIII đều từ chức. #yeutoquoc04 ,False,,yeutoquoc04,🇻🇳☭Việt Nam muôn năm☭🇻🇳,,,,,,False
7356943045578738951,2024-04-12T18:36:29,23,VN,55300,1290,198,420900,"Mệt thì cứ ngoái lại phía sau, em vẫn luôn đây mà.. #xh #xuhuongtiktok #viral ",False,,plng_7,pl,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107700,4855,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7334312867799305479,2024-02-11T18:59:52,10,VN,217200,677,758,3200000,,False,,_harriet.11,Thích ép dứa không đường🍍☁️,,,,,,False
7334312867799305479,2024-02-11T18:59:52,10,VN,217200,677,758,3200000,,False,,_harriet.11,Thích ép dứa không đường🍍☁️,,,,,,False
7334312867799305479,2024-02-11T18:59:52,10,VN,217200,677,758,3200000,,False,,_harriet.11,Thích ép dứa không đường🍍☁️,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107700,4855,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107700,4855,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107800,4855,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107800,4855,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107800,4857,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107800,4857,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107800,4857,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107800,4857,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107800,4857,2318,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107900,4866,2319,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107900,4867,2320,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107900,4867,2320,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107900,4867,2320,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107900,4867,2320,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107900,4867,2320,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7361058111597104385,2024-04-23T20:45:03,17,VN,107900,4867,2320,1500000,Kiếp này mà không lấy được anh #radiotamtinh22 #radio #tinhyeu #tamtrang #cuocsong #buon ,False,,radiotamtinh22,𝐑𝐀𝐃𝐈𝐎 𝐓𝐀̂𝐌 𝐓𝐈̀𝐍𝐇🍀,,,,,,False
7365743137211485456,2024-05-06T11:45:25,22,VN,189400,1447,2157,6000000,"Tôi đang loay hoay ăn bún bò Huế nhưng may thay có một người khác trong quán nhận thấy tôi đang gặp khó khăn và đến giúp tôi ăn. Họ thậm chí còn giúp tôi hoàn thành toàn bộ bữa ăn của mình. Vì vậy, loại của họ.        #vietnam #food #funny #cute #travel ",False,,bobvinhung,Bob Vĩnh Hưng,,,,,,False
7339160548174548242,2024-02-24T20:31:18,21,VN,175400,3727,1321,2500000,bà chỉ móm có hàm răng à có già đâu 🤣#radio #tamtrangbuon #radiodoi#bangsad💔 #sttdoi ,False,,fb_caovanbang,ＴÁＯ ｓａｄｎｅｓｓ ?,,,,,,False
7362410568906476817,2024-04-27T12:13:25,16,VN,233400,4666,1291,2000000,#douyin #douyin抖音 #cars #xuhuong #trending #panacie24 #pahynmy #xomtieuthuyet205 ,False,,panacie24,𝓟𝓪𝓷𝓪𝓬𝓲𝓮 🍃,,,,,,False
